plate,comp,ineq_treatment,hyphal_bm_mg,hyphal_QD_total,hyphal_QD_total_from_other_hypal,hyphal_QD_in_root_from_poor_total,hyphal_QD_in_root_from_rich_total,percent_cyto,percent_vac,root_bm_mg,total_root_bm_mg,root_QD_per_mg_root_rich_origin,root_QD_per_mg_root_poor_origin
76,Poor,Medium,0.395229681,0.003491952,0.004488533,NA,NA,90.99065317,9.009346828,NA,NA,NA,NA
76,Rich,Medium,0.126144236,0.015261336,0.008695596,NA,NA,63.55089671,36.44910329,NA,NA,NA,NA
76,Root,Medium,0.616217427,NA,NA,0.005052919,0.002996051,66.68150278,33.31849722,31.6,47.5,0.000190493,0.000058
77,Poor,Medium,0.663253224,0.001589299,0.002542241,NA,NA,72.03685285,27.96314715,NA,NA,NA,NA
77,Rich,Medium,0.091360779,0.030730078,0.020312524,NA,NA,61.46947552,38.53052448,NA,NA,NA,NA
77,Root,Medium,1.350499598,NA,NA,0.001150946,0.000731045,50.17606113,49.82393887,40.7,67.2,0.000435337,0.000430
101,Poor,None,0.405694343,0.019474281,0.018122131,NA,NA,74.05786215,25.94213785,NA,NA,NA,NA
101,Rich,None,0.476693115,0.007528292,0.008534242,NA,NA,53.6042916,46.3957084,NA,NA,NA,NA
101,Root,None,0.539679839,NA,NA,0.010847583,0.010326722,58.22906954,41.77093046,33.3,52,0.000793193,0.000425
102,Poor,None,0.225098755,0.036391301,0.036981404,NA,NA,73.62305914,26.37694086,NA,NA,NA,NA
102,Rich,None,0.275887265,0.026312824,0.02730308,NA,NA,50.10808595,49.89191405,NA,NA,NA,NA
102,Root,None,NA,NA,NA,NA,NA,68.68787755,31.31212245,49.4,67.9,0.000232271,0.000310
103,Poor,None,0.430719633,0.017931254,0.017353862,NA,NA,63.4702861,36.5297139,NA,NA,NA,NA
103,Rich,None,0.127766609,0.083178313,0.087129049,NA,NA,64.46961367,35.53038633,NA,NA,NA,NA
103,Root,None,0.358791216,NA,NA,0.018224403,0.016023458,73.05616338,26.94383662,45.8,52.2,0.000383958,0.000242
104,Poor,None,0.25370905,0.042167334,0.040328661,NA,NA,67.46250285,32.53749715,NA,NA,NA,NA
104,Rich,None,NA,NA,NA,NA,NA,61.7835433,38.2164567,NA,NA,NA,NA
104,Root,None,0.428929399,NA,NA,0.012705576,0.009540606,72.25818907,27.74181093,53.8,81.8,0.000384942,0.000380
105,Poor,None,0.641114258,0.009847464,0.006543819,NA,NA,67.78603714,32.21396286,NA,NA,NA,NA
105,Rich,None,0.160465493,0.02394142,0.026737131,NA,NA,71.69073911,28.30926089,NA,NA,NA,NA
105,Root,None,0.483673415,NA,NA,0.013482929,0.017799672,58.52023126,41.47976874,50.8,71.2,0.000638138,0.000310
106,Poor,None,0.230292437,0.02300664,0.028712639,NA,NA,75.16809851,24.83190149,NA,NA,NA,NA
106,Rich,None,0.846887247,0.006991156,0.007949959,NA,NA,72.44963053,27.55036947,NA,NA,NA,NA
106,Root,None,0.603818961,NA,NA,0.009996365,0.007422,58.21011346,41.78988654,52.7,71,4.58466E-05,0.000509
107,Poor,None,0.141197864,0.026974043,0.023006954,NA,NA,66.24010557,33.75989443,NA,NA,NA,NA
107,Rich,None,0.165284387,0.023065754,0.025560647,NA,NA,56.13358789,43.86641211,NA,NA,NA,NA
107,Root,None,0.628600796,NA,NA,0.006063425,0.004901171,76.05385984,23.94614016,41.1,88.2,0,0.000178
108,Poor,None,0.390814573,0.018889354,0.021771294,NA,NA,62.68618127,37.31381873,NA,NA,NA,NA
108,Rich,None,0.31829701,0.026192585,0.027026008,NA,NA,52.89588097,47.10411903,NA,NA,NA,NA
108,Root,None,0.390191528,NA,NA,0.014329114,0.01809662,58.83134441,41.16865559,50.1,68,0.000772829,0.000199
109,Poor,None,0.486759404,0.010366968,0.008863864,NA,NA,54.68159355,45.31840645,NA,NA,NA,NA
109,Rich,None,0.244262502,0.020406908,0.018856973,NA,NA,56.01853588,43.98146412,NA,NA,NA,NA
109,Root,None,0.543763876,NA,NA,0.014570335,0.011359175,71.75808118,28.24191882,55.5,64.7,0.000449674,0.000338
110,Poor,None,0.195316833,0.03100105,0.027793207,NA,NA,67.71578287,32.28421713,NA,NA,NA,NA
110,Rich,None,1.547928961,0.003820523,0.003079741,NA,NA,59.98706954,40.01293046,NA,NA,NA,NA
110,Root,None,1.115778449,NA,NA,0.006665856,0.005852368,65.48049037,34.51950963,46.4,80.4,1.22379E-05,0.000519
111,Poor,None,0.246932886,0.021688822,0.016201855,NA,NA,58.06073248,41.93926752,NA,NA,NA,NA
111,Rich,None,0.108584285,0.051958321,0.043616558,NA,NA,56.58746191,43.41253809,NA,NA,NA,NA
111,Root,None,1.976325295,NA,NA,0.003902654,0.003118394,66.56096733,33.43903267,29.2,35.3,5.62728E-05,0.000454
112,Poor,None,0.34267593,0.012543338,0.012062683,NA,NA,55.08684841,44.91315159,NA,NA,NA,NA
112,Rich,None,0.444147467,0.00997171,0.010515177,NA,NA,66.38168349,33.61831651,NA,NA,NA,NA
112,Root,None,0.443858487,NA,NA,0.011001863,0.010720035,66.65554006,33.34445994,49.5,86.2,0.000330576,0.000151
113,Poor,None,NA,NA,NA,NA,NA,65.26563558,34.73436442,NA,NA,NA,NA
113,Rich,None,0.182266122,0.029266082,0.028283301,NA,NA,73.11330462,26.88669538,NA,NA,NA,NA
113,Root,None,9.944990631,NA,NA,0.000397128,0.000367308,50.81279056,49.18720944,36.8,53.1,0.000386737,0.000217
114,Poor,None,0.685176537,0.007889335,0.007219518,NA,NA,67.74472375,32.25527625,NA,NA,NA,NA
114,Rich,None,0.283834504,0.017496054,0.017951802,NA,NA,36.0350969,63.9649031,NA,NA,NA,NA
114,Root,None,0.640241305,NA,NA,0.007528869,0.006961301,58.67540873,41.32459127,48.2,79.7,0.000334479,0.000422
115,Poor,None,0.549713654,0.01006703,0.008443963,NA,NA,53.73055723,46.26944277,NA,NA,NA,NA
115,Rich,None,0.169696982,0.037612446,0.041097579,NA,NA,62.40154328,37.59845672,NA,NA,NA,NA
115,Root,None,0.402963795,NA,NA,0.014348039,0.013610613,57.90909849,42.09090151,37.9,74.1,0.000480643,0.000513
116,Poor,None,0.239324471,0.018474636,0.015383207,NA,NA,59.37082258,40.62917742,NA,NA,NA,NA
116,Rich,None,0.102925412,0.035220955,0.034180401,NA,NA,66.7738828,33.2261172,NA,NA,NA,NA
116,Root,None,0.551935754,NA,NA,0.007689705,0.006667111,52.42005385,47.57994615,53.4,65,0.000356048,0.000334
117,Poor,None,0.102827143,0.034331745,0.025615384,NA,NA,48.91307784,51.08692216,NA,NA,NA,NA
117,Rich,None,NA,NA,NA,NA,NA,63.05676512,36.94323488,NA,NA,NA,NA
117,Root,None,0.374237551,NA,NA,0.009208048,0.009194507,65.68323182,34.31676818,55.3,63.8,0.000589346,0.000335
118,Poor,None,0.571801564,0.004553495,0.004695135,NA,NA,60.28065229,39.71934771,NA,NA,NA,NA
118,Rich,None,0.089705409,0.035785515,0.036980388,NA,NA,60.13341007,39.86658993,NA,NA,NA,NA
118,Root,None,0.587047837,NA,NA,0.007785826,0.004625203,69.57482134,30.42517866,42.5,92.4,0.000470837,0.000186
119,Poor,None,0.09078384,0.051812596,0.053370532,NA,NA,68.9994676,31.0005324,NA,NA,NA,NA
119,Rich,None,0.127116232,0.044679586,0.045439762,NA,NA,88.51404805,11.48595195,NA,NA,NA,NA
119,Root,None,0.162026897,NA,NA,0.025064956,0.024539525,78.04116355,21.95883645,37.3,53.2,0.000188594,0.000257
120,Poor,None,0.143113391,0.032931624,0.02228754,NA,NA,69.22657292,30.77342708,NA,NA,NA,NA
120,Rich,None,0.15057539,0.018728491,0.020568613,NA,NA,64.10182678,35.89817322,NA,NA,NA,NA
120,Root,None,0.407437464,NA,NA,0.013859599,0.013067571,51.32832084,48.67167916,27.5,67,0.000263008,0.000298
121,Poor,None,0.940564495,0.004758307,0.004860029,NA,NA,61.28414768,38.71585232,NA,NA,NA,NA
121,Rich,None,0.170019881,0.020150846,0.027163694,NA,NA,70.46937845,29.53062155,NA,NA,NA,NA
121,Root,None,0.602520768,NA,NA,0.006501309,0.007359217,62.69107255,37.30892745,38.4,64.4,0.000315232,0.000517
122,Poor,None,0.698771445,0.007385332,0.005046062,NA,NA,76.76030521,23.23969479,NA,NA,NA,NA
122,Rich,None,0.331879243,0.011343999,0.007827786,NA,NA,67.23163903,32.76836097,NA,NA,NA,NA
122,Root,None,0.221958622,NA,NA,0.015031552,0.019657528,74.88566028,25.11433972,36,56.6,0.00077001,0.000632
123,Poor,None,0.161445587,0.01598692,0.02140132,NA,NA,64.87224727,35.12775273,NA,NA,NA,NA
123,Rich,None,0.196685926,0.01880023,0.013083446,NA,NA,70.09794864,29.90205136,NA,NA,NA,NA
123,Root,None,0.304405985,NA,NA,0.015447838,0.015438363,81.92434433,18.07565567,47.4,63.1,0.000501466,0.000152
